milliseconds_played,latitude,longitude,city,timestamp,source,track_id,track_name,album_name,artist_id,artist_name,valence_score,danceability_score,familiarity_score,song_year,song_tempo,runnability,energy,popularity_normalized,Id,date,hour,weekday,device,system,up_to_date_score,tempo_score
139,40.8,-74.0,New York,1435712778,playlist,8120a12b038b4dbc8178ee9800e6705d,Colonel Hathi's March (The Elephant Song),The Jungle Book,5586948cf8554ebb8a69275bf8a5211e,J. Pat O'Malley,0.818451,0.845071,0.151999,2003.0,95.903,0.16226228,0.40278235,0.4817632045,1,2015-06-30,21,Tue,"iPad3,1",iOS 8.3,0.84,0.4001493733
222128,40.8,-74.0,New York,1435713001,artist,723848ccf3504667bf4542960a1e911e,Trap Queen,Trap Queen,e0ae28c73c074041a0ea7fb761912799,Fetty Wap,0.806121,0.746402,0.573777,2014.0,148.075,0.96846616,0.87267476,0.8169168461,1,2015-06-30,21,Tue,"iPad3,1",iOS 8.3,0.986666666667,0.617833836808
128174,40.7,-74.0,New York,1435763381,playlist-owned-by-other-non-collaborative,0453757856c34cbca94ce3083902623c,Do You,They Want My Soul,1863c9ee9a974cce906c355c24fd1218,Spoon,,,,,,0.9234885,0.93581873,0.6294400732,1,2015-07-01,11,Wed,x86 8,OS X 10.10.3,,
257853,40.7,-74.0,New York,1435763718,playlist-owned-by-other-non-collaborative,905b7a90916e47278b29b321f83174e3,H.S.K.T.,Sylvan Esso,679c2d937ed74565acfc3dcd88bcef19,Sylvan Esso,0.785303,0.958861,0.543199,2014.0,114.016,0.6476852,0.62549615,0.6210617904,1,2015-07-01,11,Wed,x86 8,OS X 10.10.3,0.986666666667,0.475724752574
245293,40.7,-74.0,New York,1435763964,playlist-owned-by-other-non-collaborative,cdd41171bdab4ca48fa3f9e964aafcd0,The Wire,Days Are Gone,a1423e10f27a4c4f92285dad83368658,HAIM,0.49587,0.5472,0.579221,2013.0,113.678,0.09655658,0.635057,0.6753864446,1,2015-07-01,11,Wed,x86 8,OS X 10.10.3,0.973333333333,0.474314468348
23637,40.7,-74.0,New York,1435763988,playlist-owned-by-other-non-collaborative,cde93132c1fb42c588c8074e1307573f,You Go Down Smooth,Bad Self Portraits,6f047a027840481eaedd9b806dd102e5,Lake Street Dive,,,,,,0.85647786,0.7942522,0.58828509,1,2015-07-01,11,Wed,x86 8,OS X 10.10.3,,
168066,40.7,-74.0,New York,1435764156,playlist-owned-by-other-non-collaborative,269f2d8346de4af39972b7a108dc27ff,Ruby Blue,Ruby Blue,709fc9e1847d42f6a26e997919fab980,Róisín Murphy,0.9105,0.920516,0.666004,2005.0,117.986,0.3866474,0.5696381,0.4946611573,1,2015-07-01,11,Wed,x86 8,OS X 10.10.3,0.866666666667,0.492289333578
166480,40.7,-74.0,New York,1435764322,playlist-owned-by-other-non-collaborative,f89dd076035e423c87baffd2d01216e7,Violent Shiver,Violent Shiver,f22e398822cf4283b91111f1d134b49b,Benjamin Booker,,,,,,0.65571845,0.969178,0.5429115899,1,2015-07-01,11,Wed,x86 8,OS X 10.10.3,,
212693,40.7,-74.0,New York,1435764536,playlist-owned-by-other-non-collaborative,bfafb5398012435cbace460a101c9337,Sissy That Walk,Born Naked,5e72f76a6e1d4c45af7fc07bdc64f4ac,RuPaul,0.589081,0.825523,0.610444,2014.0,126.046,0.7968947,0.6140339,0.6355273706,1,2015-07-01,11,Wed,x86 8,OS X 10.10.3,0.986666666667,0.52591918821
184320,40.7,-74.0,New York,1435764720,playlist-owned-by-other-non-collaborative,012323e9d66c4275a8c54039b5ef4886,You Make My Dreams,[500] Days Of Summer - Music From The Motion Picture,e9f68db0fd404b91a633c9f567041f55,Daryl Hall & John Oates,,,,,,0.2595004,0.64385194,0.6326665995,1,2015-07-01,11,Wed,x86 8,OS X 10.10.3,,
204279,40.7,-74.0,New York,1435764925,playlist-owned-by-other-non-collaborative,f83d3a3b5cd849acb25a1e41951ec9a8,Riptide,Dream Your Life Away,20fb2fd43da34c118f3ddb0e77915129,Vance Joy,,,,,,0.86092937,0.7310756,0.7586548531,1,2015-07-01,11,Wed,x86 8,OS X 10.10.3,,
214160,40.7,-74.0,New York,1435765140,playlist-owned-by-other-non-collaborative,b563eadcf6d544308451ab84e291e743,Waves,Waves,28d7c3ca0ecd4dc48dbd10e96de8b9e2,Sleeper Agent,,,,,,0.8976496,0.7917506,0.5284075805,1,2015-07-01,11,Wed,x86 8,OS X 10.10.3,,
